Voltage U1;Corriente IA
0,02;0,22
0,04;0,23
0,07;0,34
0,09;0,35
0,12;0,45
0,14;0,38
0,17;0,43
0,19;0,38
0,21;0,47
0,24;0,36
0,26;0,45
0,29;0,36
0,31;0,46
0,34;0,41
0,36;0,49
0,39;0,39
0,41;0,48
0,43;0,39
0,46;0,49
0,48;0,39
0,51;0,48
0,53;0,38
0,56;0,44
0,58;0,38
0,61;0,46
0,63;0,39
0,65;0,43
0,68;0,33
0,7;0,38
0,73;0,34
0,75;0,42
0,78;0,35
0,8;0,38
0,83;0,33
0,85;0,4
0,87;0,4
0,9;0,41
0,92;0,35
0,95;0,39
0,97;0,33
1;0,37
1,02;0,35
1,05;0,36
1,07;0,36
1,09;0,37
1,12;0,32
1,14;0,35
1,17;0,36
1,19;0,38
1,22;0,39
1,24;0,37
1,26;0,37
1,29;0,35
1,31;0,39
1,34;0,39
1,36;0,37
1,39;0,3
1,41;0,34
1,44;0,29
1,46;0,34
1,48;0,29
1,51;0,32
1,53;0,28
1,56;0,33
1,58;0,27
1,61;0,36
1,63;0,3
1,66;0,38
1,68;0,32
1,7;0,41
1,73;0,35
1,75;0,46
1,78;0,42
1,8;0,53
1,83;0,42
1,85;0,5
1,88;0,42
1,9;0,51
1,92;0,41
1,95;0,47
1,97;0,37
2;0,47
2,02;0,39
2,05;0,47
2,07;0,38
2,1;0,46
2,12;0,37
2,14;0,45
2,17;0,35
2,19;0,42
2,22;0,32
2,24;0,4
2,27;0,33
2,29;0,4
2,31;0,35
2,34;0,41
2,36;0,34
2,39;0,42
2,41;0,39
2,44;0,46
2,46;0,43
2,49;0,46
2,51;0,38
2,53;0,42
2,56;0,41
2,58;0,44
2,61;0,4
2,63;0,41
2,66;0,37
2,68;0,43
2,71;0,42
2,73;0,43
2,75;0,4
2,78;0,37
2,8;0,36
2,83;0,36
2,85;0,37
2,88;0,37
2,9;0,35
2,93;0,32
2,95;0,34
2,97;0,3
3;0,35
3,02;0,34
3,05;0,38
3,07;0,36
3,1;0,41
3,12;0,38
3,15;0,47
3,17;0,43
3,19;0,5
3,22;0,44
3,24;0,48
3,27;0,41
3,29;0,5
3,32;0,44
3,34;0,5
3,36;0,38
3,39;0,47
3,41;0,43
3,44;0,52
3,46;0,46
3,49;0,54
3,51;0,43
3,54;0,54
3,56;0,43
3,58;0,5
3,61;0,44
3,63;0,47
3,66;0,4
3,68;0,49
3,71;0,4
3,73;0,49
3,76;0,39
3,78;0,43
3,8;0,36
3,83;0,41
3,85;0,33
3,88;0,43
3,9;0,33
3,93;0,4
3,95;0,36
3,98;0,45
4;0,4
4,02;0,47
4,05;0,36
4,07;0,44
4,1;0,41
4,12;0,48
4,15;0,45
4,17;0,48
4,2;0,44
4,22;0,51
4,24;0,48
4,27;0,54
4,29;0,49
4,32;0,5
4,34;0,47
4,37;0,47
4,39;0,47
4,42;0,5
4,44;0,46
4,46;0,47
4,49;0,46
4,51;0,46
4,54;0,51
4,56;0,48
4,59;0,49
4,61;0,5
4,63;0,49
4,66;0,48
4,68;0,53
4,71;0,5
4,73;0,57
4,76;0,51
4,78;0,52
4,81;0,51
4,83;0,56
4,85;0,53
4,88;0,61
4,9;0,55
4,93;0,62
4,95;0,58
4,98;0,64
5;0,58
5,03;0,66
5,05;0,56
5,07;0,64
5,1;0,55
5,12;0,65
5,15;0,61
5,17;0,66
5,2;0,55
5,22;0,62
5,25;0,51
5,27;0,66
5,29;0,54
5,32;0,61
5,34;0,58
5,37;0,68
5,39;0,61
5,42;0,73
5,44;0,61
5,47;0,72
5,49;0,67
5,51;0,72
5,54;0,65
5,56;0,76
5,59;0,68
5,61;0,8
5,64;0,74
5,66;0,82
5,68;0,77
5,71;0,84
5,73;0,8
5,76;0,85
5,78;0,78
5,81;0,85
5,83;0,8
5,86;0,84
5,88;0,77
5,9;0,8
5,93;0,82
5,95;0,87
5,98;0,85
6;0,9
6,03;0,87
6,05;0,93
6,08;0,95
6,1;0,96
6,12;0,92
6,15;0,96
6,17;0,94
6,2;1
6,22;1,02
6,25;1,01
6,27;1,06
6,3;1,1
6,32;1,08
6,34;1,1
6,37;1,11
6,39;1,12
6,42;1,18
6,44;1,12
6,47;1,15
6,49;1,14
6,52;1,19
6,54;1,19
6,56;1,23
6,59;1,16
6,61;1,22
6,64;1,17
6,66;1,24
6,69;1,19
6,71;1,25
6,73;1,19
6,76;1,27
6,78;1,23
6,81;1,36
6,83;1,33
6,86;1,42
6,88;1,36
6,91;1,46
6,93;1,41
6,95;1,5
6,98;1,42
7;1,52
7,03;1,43
7,05;1,54
7,08;1,49
7,1;1,59
7,13;1,52
7,15;1,62
7,17;1,53
7,2;1,64
7,22;1,56
7,25;1,63
7,27;1,57
7,3;1,65
7,32;1,57
7,35;1,65
7,37;1,61
7,39;1,69
7,42;1,63
7,44;1,68
7,47;1,66
7,49;1,77
7,52;1,74
7,54;1,81
7,57;1,73
7,59;1,79
7,61;1,78
7,64;1,83
7,66;1,78
7,69;1,83
7,71;1,76
7,74;1,83
7,76;1,8
7,78;1,84
7,81;1,84
7,83;1,85
7,86;1,85
7,88;1,87
7,91;1,87
7,93;1,92
7,96;1,9
7,98;1,86
8;1,86
8,03;1,82
8,05;1,86
8,08;1,86
8,1;1,86
8,13;1,86
8,15;1,91
8,18;1,88
8,2;1,98
8,22;1,94
8,25;1,97
8,27;1,96
8,3;1,98
8,32;1,93
8,35;2,01
8,37;1,95
8,4;2,01
8,42;1,93
8,44;1,95
8,47;1,91
8,49;2
8,52;1,91
8,54;1,97
8,57;1,9
8,59;1,99
8,62;1,9
8,64;1,99
8,66;1,93
8,69;2
8,71;1,9
8,74;1,98
8,76;1,86
8,79;1,97
8,81;1,88
8,84;1,93
8,86;1,88
8,88;1,95
8,91;1,85
8,93;1,99
8,96;1,9
8,98;1,97
9,01;1,89
9,03;1,98
9,05;1,92
9,08;2
9,1;1,89
9,13;1,96
9,15;1,9
9,18;1,97
9,2;1,9
9,23;1,94
9,25;1,85
9,27;1,92
9,3;1,87
9,32;1,95
9,35;1,91
9,37;1,93
9,4;1,9
9,42;1,96
9,45;1,92
9,47;1,98
9,49;1,94
9,52;1,94
9,54;1,91
9,57;1,95
9,59;1,95
9,62;1,99
9,64;1,97
9,67;1,98
9,69;1,96
9,71;1,99
9,74;2,03
9,76;2,01
9,79;2,04
9,81;2,01
9,84;2
9,86;2,02
9,89;2,06
9,91;2,03
9,93;2,11
9,96;2,02
9,98;2,08
10,01;2,08
10,03;2,14
10,06;2,11
10,08;2,18
10,1;2,09
10,13;2,21
10,15;2,16
10,18;2,24
10,2;2,19
10,23;2,25
10,25;2,19
10,28;2,3
10,3;2,25
10,32;2,38
10,35;2,3
10,37;2,4
10,4;2,39
10,42;2,47
10,45;2,41
10,47;2,56
10,5;2,49
10,52;2,65
10,54;2,63
10,57;2,73
10,59;2,71
10,62;2,84
10,64;2,75
10,67;2,9
10,69;2,82
10,72;2,94
10,74;2,9
10,76;3
10,79;2,95
10,81;3,07
10,84;2,99
10,86;3,13
10,89;3,09
10,91;3,19
10,94;3,18
10,96;3,28
10,98;3,29
11,01;3,44
11,03;3,46
11,06;3,53
11,08;3,49
11,11;3,58
11,13;3,61
11,15;3,7
11,18;3,71
11,2;3,78
11,23;3,8
11,25;3,92
11,28;3,96
11,3;4,09
11,33;4,15
11,35;4,2
11,37;4,24
11,4;4,34
11,42;4,41
11,45;4,52
11,47;4,58
11,5;4,61
11,52;4,68
11,55;4,74
11,57;4,82
11,59;4,92
11,62;4,99
11,64;5
11,67;5,09
11,69;5,11
11,72;5,23
11,74;5,27
11,77;5,34
11,79;5,35
11,81;5,44
11,84;5,44
11,86;5,61
11,89;5,59
11,91;5,69
11,94;5,67
11,96;5,78
11,99;5,78
12,01;5,94
12,03;5,87
12,06;6
12,08;5,97
12,11;6,06
12,13;6,04
12,16;6,13
12,18;6,05
12,21;6,19
12,23;6,1
12,25;6,22
12,28;6,21
12,3;6,26
12,33;6,24
12,35;6,33
12,38;6,23
12,4;6,33
12,42;6,21
12,45;6,27
12,47;6,2
12,5;6,27
12,52;6,19
12,55;6,25
12,57;6,15
12,6;6,23
12,62;6,09
12,64;6,13
12,67;6,03
12,69;6,07
12,72;6,01
12,74;6,04
12,77;5,91
12,79;5,96
12,82;5,89
12,84;5,91
12,86;5,84
12,89;5,83
12,91;5,73
12,94;5,76
12,96;5,71
12,99;5,73
13,01;5,66
13,04;5,59
13,06;5,55
13,08;5,53
13,11;5,47
13,13;5,42
13,16;5,36
13,18;5,28
13,21;5,26
13,23;5,18
13,26;5,19
13,28;5,12
13,3;5,1
13,33;5,01
13,35;5,01
13,38;4,92
13,4;4,97
13,43;4,9
13,45;4,94
13,47;4,85
13,5;4,86
13,52;4,78
13,55;4,83
13,57;4,73
13,6;4,78
13,62;4,68
13,65;4,72
13,67;4,63
13,69;4,7
13,72;4,62
13,74;4,66
13,77;4,52
13,79;4,58
13,82;4,47
13,84;4,52
13,87;4,41
13,89;4,44
13,91;4,32
13,94;4,41
13,96;4,27
13,99;4,36
14,01;4,26
14,04;4,33
14,06;4,26
14,09;4,31
14,11;4,21
14,13;4,31
14,16;4,22
14,18;4,3
14,21;4,2
14,23;4,29
14,26;4,23
14,28;4,32
14,31;4,26
14,33;4,35
14,35;4,29
14,38;4,39
14,4;4,31
14,43;4,39
14,45;4,31
14,48;4,39
14,5;4,34
14,52;4,47
14,55;4,44
14,57;4,54
14,6;4,52
14,62;4,6
14,65;4,61
14,67;4,72
14,7;4,69
14,72;4,75
14,74;4,72
14,77;4,79
14,79;4,85
14,82;4,93
14,84;4,96
14,87;5,04
14,89;5,07
14,92;5,19
14,94;5,27
14,96;5,31
14,99;5,36
15,01;5,39
15,04;5,44
15,06;5,51
15,09;5,56
15,11;5,62
15,14;5,74
15,16;5,76
15,18;5,87
15,21;5,91
15,23;6,03
15,26;6,13
15,28;6,25
15,31;6,24
15,33;6,35
15,36;6,4
15,38;6,57
15,4;6,57
15,43;6,72
15,45;6,75
15,48;6,9
15,5;6,97
15,53;7,16
15,55;7,19
15,57;7,41
15,6;7,44
15,62;7,63
15,65;7,69
15,67;7,91
15,7;7,92
15,72;8,12
15,75;8,13
15,77;8,32
15,79;8,39
15,82;8,58
15,84;8,64
15,87;8,86
15,89;8,93
15,92;9,18
15,94;9,27
15,97;9,46
15,99;9,56
16,01;9,77
16,04;9,8
16,06;10,01
16,09;10,07
16,11;10,25
16,14;10,33
16,16;10,52
16,19;10,6
16,21;10,87
16,23;10,98
16,26;11,2
16,28;11,31
16,31;11,56
16,33;11,74
16,36;11,97
16,38;12,09
16,41;12,28
16,43;12,39
16,45;12,63
16,48;12,74
16,5;12,9
16,53;13,08
16,55;13,26
16,58;13,42
16,6;13,63
16,63;13,78
16,65;14,02
16,67;14,2
16,7;14,31
16,72;14,46
16,75;14,57
16,77;14,72
16,8;14,86
16,82;15,02
16,84;15,11
16,87;15,26
16,89;15,38
16,92;15,59
16,94;15,66
16,97;15,75
16,99;15,75
17,02;15,86
17,04;15,86
17,06;15,99
17,09;15,95
17,11;16,04
17,14;15,99
17,16;16,06
17,19;15,99
17,21;16,1
17,24;16,01
17,26;16,1
17,28;16,01
17,31;16,1
17,33;15,99
17,36;16,03
17,38;15,9
17,41;15,91
17,43;15,73
17,46;15,77
17,48;15,55
17,5;15,54
17,53;15,38
17,55;15,37
17,58;15,14
17,6;15,13
17,63;14,88
17,65;14,86
17,68;14,62
17,7;14,55
17,72;14,33
17,75;14,28
17,77;14
17,8;13,96
17,82;13,71
17,85;13,67
17,87;13,43
17,89;13,36
17,92;13,13
17,94;13,06
17,97;12,8
17,99;12,72
18,02;12,49
18,04;12,41
18,07;12,15
18,09;12,03
18,11;11,85
18,14;11,75
18,16;11,56
18,19;11,5
18,21;11,3
18,24;11,17
18,26;11
18,29;10,84
18,31;10,68
18,33;10,56
18,36;10,37
18,38;10,25
18,41;10,1
18,43;9,99
18,46;9,89
18,48;9,77
18,51;9,66
18,53;9,51
18,55;9,39
18,58;9,31
18,6;9,23
18,63;9,12
18,65;9,06
18,68;8,93
18,7;8,87
18,73;8,78
18,75;8,75
18,77;8,67
18,8;8,68
18,82;8,54
18,85;8,53
18,87;8,48
18,9;8,48
18,92;8,38
18,94;8,36
